input,chain_of_thought,output
"Find the next number in the sequence: [7, 18, 21, 8]","The pattern increases by 11, so the next number is...",56
A car moves at 96 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 96 × 2 =,192 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 503 + 187?,Adding 503 to 187 gives...,690
What is 503 - 187?,Subtracting 187 from 503 leaves...,316
What is 503 × 187?,Multiplying 503 by 187 results in...,94061
What is 503 ÷ 187?,Dividing 503 by 187 gives...,2.69
If I have 6 apples and get 7 more...,6 apples + 7 apples = total...,13 apples
"Find the next number in the sequence: [5, 14, 21, 8]","The pattern increases by 9, so the next number is...",29
A car moves at 54 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 54 × 4 =,216 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 498 + 287?,Adding 498 to 287 gives...,785
What is 498 - 287?,Subtracting 287 from 498 leaves...,211
What is 498 × 287?,Multiplying 498 by 287 results in...,142926
What is 498 ÷ 287?,Dividing 498 by 287 gives...,1.74
If I have 4 apples and get 6 more...,4 apples + 6 apples = total...,10 apples
"Find the next number in the sequence: [9, 2, 24, 20]","The pattern increases by -7, so the next number is...",13
A car moves at 36 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 36 × 5 =,180 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 311 + 737?,Adding 311 to 737 gives...,1048
What is 311 - 737?,Subtracting 737 from 311 leaves...,-426
What is 311 × 737?,Multiplying 311 by 737 results in...,229207
What is 311 ÷ 737?,Dividing 311 by 737 gives...,0.42
If I have 11 apples and get 4 more...,11 apples + 4 apples = total...,15 apples
"Find the next number in the sequence: [10, 12, 9, 8]","The pattern increases by 2, so the next number is...",52
A car moves at 36 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 36 × 1 =,36 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 796 + 948?,Adding 796 to 948 gives...,1744
What is 796 - 948?,Subtracting 948 from 796 leaves...,-152
What is 796 × 948?,Multiplying 796 by 948 results in...,754608
What is 796 ÷ 948?,Dividing 796 by 948 gives...,0.84
If I have 10 apples and get 4 more...,10 apples + 4 apples = total...,14 apples
"Find the next number in the sequence: [10, 20, 18, 40]","The pattern increases by 10, so the next number is...",30
A car moves at 36 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 36 × 5 =,180 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 418 + 985?,Adding 418 to 985 gives...,1403
What is 418 - 985?,Subtracting 985 from 418 leaves...,-567
What is 418 × 985?,Multiplying 418 by 985 results in...,411730
What is 418 ÷ 985?,Dividing 418 by 985 gives...,0.42
If I have 2 apples and get 6 more...,2 apples + 6 apples = total...,8 apples
"Find the next number in the sequence: [10, 4, 12, 16]","The pattern increases by -6, so the next number is...",14
A car moves at 102 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 102 × 3 =,306 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 740 + 33?,Adding 740 to 33 gives...,773
What is 740 - 33?,Subtracting 33 from 740 leaves...,707
What is 740 × 33?,Multiplying 740 by 33 results in...,24420
What is 740 ÷ 33?,Dividing 740 by 33 gives...,22.42
If I have 17 apples and get 4 more...,17 apples + 4 apples = total...,21 apples
"Find the next number in the sequence: [6, 6, 30, 4]","The pattern increases by 0, so the next number is...",25
A car moves at 96 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 96 × 3 =,288 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 311 + 318?,Adding 311 to 318 gives...,629
What is 311 - 318?,Subtracting 318 from 311 leaves...,-7
What is 311 × 318?,Multiplying 311 by 318 results in...,98898
What is 311 ÷ 318?,Dividing 311 by 318 gives...,0.98
If I have 6 apples and get 9 more...,6 apples + 9 apples = total...,15 apples
"Find the next number in the sequence: [2, 16, 15, 8]","The pattern increases by 14, so the next number is...",64
A car moves at 97 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 97 × 2 =,194 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 586 + 882?,Adding 586 to 882 gives...,1468
What is 586 - 882?,Subtracting 882 from 586 leaves...,-296
What is 586 × 882?,Multiplying 586 by 882 results in...,516852
What is 586 ÷ 882?,Dividing 586 by 882 gives...,0.66
If I have 3 apples and get 7 more...,3 apples + 7 apples = total...,10 apples
"Find the next number in the sequence: [3, 6, 18, 20]","The pattern increases by 3, so the next number is...",43
A car moves at 116 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 116 × 5 =,580 km
What is the capital of France?,The capital city of France is...,Paris
What is 750 + 751?,Adding 750 to 751 gives...,1501
What is 750 - 751?,Subtracting 751 from 750 leaves...,-1
What is 750 × 751?,Multiplying 750 by 751 results in...,563250
What is 750 ÷ 751?,Dividing 750 by 751 gives...,1.0
If I have 6 apples and get 9 more...,6 apples + 9 apples = total...,15 apples
"Find the next number in the sequence: [2, 2, 21, 40]","The pattern increases by 0, so the next number is...",5
A car moves at 43 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 43 × 3 =,129 km
What is the capital of France?,The capital city of France is...,Paris
What is 363 + 871?,Adding 363 to 871 gives...,1234
What is 363 - 871?,Subtracting 871 from 363 leaves...,-508
What is 363 × 871?,Multiplying 363 by 871 results in...,316173
What is 363 ÷ 871?,Dividing 363 by 871 gives...,0.42
If I have 9 apples and get 2 more...,9 apples + 2 apples = total...,11 apples
"Find the next number in the sequence: [3, 6, 12, 16]","The pattern increases by 3, so the next number is...",28
A car moves at 51 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 51 × 4 =,204 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 244 + 827?,Adding 244 to 827 gives...,1071
What is 244 - 827?,Subtracting 827 from 244 leaves...,-583
What is 244 × 827?,Multiplying 244 by 827 results in...,201788
What is 244 ÷ 827?,Dividing 244 by 827 gives...,0.3
If I have 6 apples and get 8 more...,6 apples + 8 apples = total...,14 apples
"Find the next number in the sequence: [3, 12, 30, 4]","The pattern increases by 9, so the next number is...",54
A car moves at 105 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 105 × 4 =,420 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 939 + 956?,Adding 939 to 956 gives...,1895
What is 939 - 956?,Subtracting 956 from 939 leaves...,-17
What is 939 × 956?,Multiplying 939 by 956 results in...,897684
What is 939 ÷ 956?,Dividing 939 by 956 gives...,0.98
If I have 8 apples and get 9 more...,8 apples + 9 apples = total...,17 apples
"Find the next number in the sequence: [7, 10, 15, 20]","The pattern increases by 3, so the next number is...",13
A car moves at 49 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 49 × 1 =,49 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 252 + 322?,Adding 252 to 322 gives...,574
What is 252 - 322?,Subtracting 322 from 252 leaves...,-70
What is 252 × 322?,Multiplying 252 by 322 results in...,81144
What is 252 ÷ 322?,Dividing 252 by 322 gives...,0.78
If I have 1 apples and get 1 more...,1 apples + 1 apples = total...,2 apples
"Find the next number in the sequence: [5, 2, 18, 8]","The pattern increases by -3, so the next number is...",27
A car moves at 109 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 109 × 5 =,545 km
What is the capital of France?,The capital city of France is...,Paris
What is 127 + 246?,Adding 127 to 246 gives...,373
What is 127 - 246?,Subtracting 246 from 127 leaves...,-119
What is 127 × 246?,Multiplying 127 by 246 results in...,31242
What is 127 ÷ 246?,Dividing 127 by 246 gives...,0.52
If I have 5 apples and get 3 more...,5 apples + 3 apples = total...,8 apples
"Find the next number in the sequence: [2, 4, 12, 32]","The pattern increases by 2, so the next number is...",52
A car moves at 107 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 107 × 1 =,107 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 684 + 877?,Adding 684 to 877 gives...,1561
What is 684 - 877?,Subtracting 877 from 684 leaves...,-193
What is 684 × 877?,Multiplying 684 by 877 results in...,599868
What is 684 ÷ 877?,Dividing 684 by 877 gives...,0.78
If I have 10 apples and get 1 more...,10 apples + 1 apples = total...,11 apples
"Find the next number in the sequence: [4, 16, 3, 40]","The pattern increases by 12, so the next number is...",57
A car moves at 50 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 50 × 1 =,50 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 41 + 811?,Adding 41 to 811 gives...,852
What is 41 - 811?,Subtracting 811 from 41 leaves...,-770
What is 41 × 811?,Multiplying 41 by 811 results in...,33251
What is 41 ÷ 811?,Dividing 41 by 811 gives...,0.05
If I have 1 apples and get 4 more...,1 apples + 4 apples = total...,5 apples
"Find the next number in the sequence: [10, 6, 3, 36]","The pattern increases by -4, so the next number is...",26
A car moves at 37 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 37 × 1 =,37 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 685 + 676?,Adding 685 to 676 gives...,1361
What is 685 - 676?,Subtracting 676 from 685 leaves...,9
What is 685 × 676?,Multiplying 685 by 676 results in...,463060
What is 685 ÷ 676?,Dividing 685 by 676 gives...,1.01
If I have 3 apples and get 9 more...,3 apples + 9 apples = total...,12 apples
"Find the next number in the sequence: [1, 4, 15, 8]","The pattern increases by 3, so the next number is...",28
A car moves at 102 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 102 × 5 =,510 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 517 + 671?,Adding 517 to 671 gives...,1188
What is 517 - 671?,Subtracting 671 from 517 leaves...,-154
What is 517 × 671?,Multiplying 517 by 671 results in...,346907
What is 517 ÷ 671?,Dividing 517 by 671 gives...,0.77
If I have 3 apples and get 7 more...,3 apples + 7 apples = total...,10 apples
"Find the next number in the sequence: [9, 20, 24, 20]","The pattern increases by 11, so the next number is...",31
A car moves at 116 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 116 × 3 =,348 km
What is the capital of France?,The capital city of France is...,Paris
What is 204 + 508?,Adding 204 to 508 gives...,712
What is 204 - 508?,Subtracting 508 from 204 leaves...,-304
What is 204 × 508?,Multiplying 204 by 508 results in...,103632
What is 204 ÷ 508?,Dividing 204 by 508 gives...,0.4
If I have 11 apples and get 2 more...,11 apples + 2 apples = total...,13 apples
"Find the next number in the sequence: [4, 14, 6, 32]","The pattern increases by 10, so the next number is...",50
A car moves at 47 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 47 × 2 =,94 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 95 + 222?,Adding 95 to 222 gives...,317
What is 95 - 222?,Subtracting 222 from 95 leaves...,-127
What is 95 × 222?,Multiplying 95 by 222 results in...,21090
What is 95 ÷ 222?,Dividing 95 by 222 gives...,0.43
If I have 5 apples and get 5 more...,5 apples + 5 apples = total...,10 apples
"Find the next number in the sequence: [6, 4, 30, 12]","The pattern increases by -2, so the next number is...",38
A car moves at 51 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 51 × 3 =,153 km
What is the capital of France?,The capital city of France is...,Paris
What is 330 + 140?,Adding 330 to 140 gives...,470
What is 330 - 140?,Subtracting 140 from 330 leaves...,190
What is 330 × 140?,Multiplying 330 by 140 results in...,46200
What is 330 ÷ 140?,Dividing 330 by 140 gives...,2.36
If I have 6 apples and get 2 more...,6 apples + 2 apples = total...,8 apples
"Find the next number in the sequence: [2, 10, 27, 32]","The pattern increases by 8, so the next number is...",43
A car moves at 89 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 89 × 1 =,89 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 649 + 838?,Adding 649 to 838 gives...,1487
What is 649 - 838?,Subtracting 838 from 649 leaves...,-189
What is 649 × 838?,Multiplying 649 by 838 results in...,543862
What is 649 ÷ 838?,Dividing 649 by 838 gives...,0.77
If I have 5 apples and get 9 more...,5 apples + 9 apples = total...,14 apples
"Find the next number in the sequence: [8, 10, 9, 40]","The pattern increases by 2, so the next number is...",47
A car moves at 66 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 66 × 5 =,330 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 117 + 595?,Adding 117 to 595 gives...,712
What is 117 - 595?,Subtracting 595 from 117 leaves...,-478
What is 117 × 595?,Multiplying 117 by 595 results in...,69615
What is 117 ÷ 595?,Dividing 117 by 595 gives...,0.2
If I have 19 apples and get 8 more...,19 apples + 8 apples = total...,27 apples
"Find the next number in the sequence: [10, 12, 15, 12]","The pattern increases by 2, so the next number is...",12
A car moves at 97 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 97 × 1 =,97 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 166 + 44?,Adding 166 to 44 gives...,210
What is 166 - 44?,Subtracting 44 from 166 leaves...,122
What is 166 × 44?,Multiplying 166 by 44 results in...,7304
What is 166 ÷ 44?,Dividing 166 by 44 gives...,3.77
If I have 16 apples and get 1 more...,16 apples + 1 apples = total...,17 apples
"Find the next number in the sequence: [3, 6, 24, 8]","The pattern increases by 3, so the next number is...",48
A car moves at 113 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 113 × 4 =,452 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 68 + 968?,Adding 68 to 968 gives...,1036
What is 68 - 968?,Subtracting 968 from 68 leaves...,-900
What is 68 × 968?,Multiplying 68 by 968 results in...,65824
